brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,screen_size,memory_size,battery_size,release_date
Nokia,6.1 4/64GB Black,Android,798,3962,3885,4099,5.5,64,3000,Mar-18
Nokia,6.1 Plus 4/64GB Blue,Android,202,5020,,,5.8,64,3060,Sep-18
realme,6S 4/64GB Eclipse Black,Android,329,5777,,,6.5,64,4300,Jan-21
realme,6S 4/64GB Eclipse Black,Android,291,5777,,,6.5,64,4300,Jan-21
realme,6S 6/128GB Lunar White,Android,953,6078,5749,6270,6.5,128,4300,Oct-20
OnePlus,6T 8/256GB Midnight Black,Android,661,15625,15080,16213,6.41,256,3700,Oct-18
realme,6i 3/64GB White,Android,989,4292,4089,4599,6.5,64,5000,Apr-20
realme,6i 4/128GB Green,Android,1042,4946,4699,5044,6.5,128,5000,Apr-20
Honor,7 16GB (Gold),Android,158,2766,,,5.2,16,3100,Jul-15
Honor,7 16GB (Gold),Android,133,2766,,,5.2,16,3100,Jul-15
Honor,7 16GB (Gold),Android,108,2766,,,5.2,16,3100,Jul-15
realme,7 6/64GB Mist Blue,Android,570,6215,5990,6658,6.5,64,5000,Feb-21
OnePlus,7 8/256GB Mirror Gray,Android,1022,14443,13920,15449,6.41,256,3700,Jul-19
Nokia,7 Plus 4/64GB Black,Android,375,7612,6014,9211,6,64,3800,Mar-18
realme,7 Pro 8/128GB Mirror Blue,Android,1179,8584,8199,9547,6.4,128,4500,Oct-20
OnePlus,8 12/256GB Onyx Black,Android,1067,17172,16500,18497,6.55,256,4300,Apr-20
Honor,8 3/32GB Blue,Android,535,3613,3199,3848,5.2,32,3000,May-18
Honor,8 4/64GB (Blue),Android,693,3499,,,5.2,64,3000,Nov-16
OnePlus,8 8/128GB Onyx Black,Android,1155,15840,14863,16999,6.55,128,4300,Apr-20
Nokia,8 Dual SIM Silver,Android,626,6222,,,5.3,64,3090,Oct-17
OnePlus,8 Pro 12/256GB Glacial Green,Android,1095,22587,21778,25999,6.78,256,4510,Apr-20
OnePlus,8 Pro 8/128GB Onyx Black,Android,1161,20709,20095,21999,6.78,128,4510,Apr-20
Nokia,8.3 5G 8/128GB Polar Night,Android,1055,19041,18500,20517,6.81,128,4500,Oct-20
Nokia,800 Tough Black,,609,3241,2989,3749,2.4,4,2100,Oct-19
Nokia,800 Tough Sand,,560,3216,2989,3299,2.4,4,2100,Jan-20
Honor,8A 2/32GB Gold,Android,383,3199,,,6.09,32,3020,Mar-19
Honor,8A 3/64GB Blue,Android,430,3844,3690,3999,6.09,64,3020,Nov-19
Honor,8A 3/64GB Blue,Android,433,3844,3690,3999,6.09,64,3020,Nov-19
Honor,8S 2/32GB Black (51093ULM),Android,767,2499,,,5.7,32,3020,May-19
Honor,8S 2/32GB Black (51093ULM),Android,769,2499,,,5.7,32,3020,May-19
OnePlus,8T 12/256GB Cyberpunk 2077 Limited Edition,Android,938,23999,23999,24000,6.55,256,4500,Jan-21
OnePlus,8T 12/256GB Lunar Silver,Android,1159,18200,17249,19999,6.55,256,4500,Oct-20
OnePlus,8T 8/128GB Aquamarine Green,Android,1157,16845,16299,18000,6.55,128,4500,Oct-20
Honor,8x Max 4/64GB Black,Android,694,5652,5605,5699,7.12,64,5000,Oct-18
Honor,8x Max 4/64GB Black,Android,697,5652,5605,5699,7.12,64,5000,Oct-18
Honor,8x Max 4/64GB Blue,Android,303,5844,5605,6199,7.12,64,5000,Nov-18
Honor,9 4/64GB Dual Blue,Android,660,4461,3978,5957,5.15,64,3200,Sep-17
Honor,9 Lite 3/32GB Midnight Black,Android,142,3491,3444,3574,5.65,32,3000,Mar-18
Honor,9i 3/32GB Black,Android,342,3424,3399,3449,5.84,32,3000,Jun-20
Honor,9i 3/32GB Black,Android,361,3424,3399,3449,5.84,32,3000,Jun-20
Honor,9i 4/64GB Blue,Android,216,4009,,,5.84,64,3000,Dec-18
Honor,9i 4/64GB Blue,Android,180,4009,,,5.84,64,3000,Dec-18
Honor,9x 4/128GB Black,Android,1048,5599,4999,5999,6.59,128,4000,Nov-19
Ulefone,A1 Dual Black,,83,817,755,845,2.4,0.032,2000,Feb-19
Ulefone,A1 Dual Gold,,384,834,719,1009,2.4,0.032,2000,Feb-19
Ulefone,A1 Silver,,440,805,691,1009,2.4,,2000,Dec-19
AGM,A10 6/128GB Black,Android,2,5628,5297,6584,5.7,128,4400,Oct-20
OPPO,A12 3/32GB Black,Android,1024,3520,3375,3949,6.22,32,4230,Jun-20
OPPO,A12 4/64GB Blue,Android,705,3949,3799,3999,6.22,64,4230,Aug-20
Astro,A144 Black/Red,,519,214,199,229,1.77,0.032,600,Sep-19
Astro,A167 Black/Red,,172,599,,,3.2,,1000,Oct-20
Astro,A167 Black/Red,,208,599,,,3.2,,1000,Oct-20
Astro,A167 Black/Red,,221,599,,,3.2,,1000,Oct-20
Astro,A169 Black Gray,,11,399,,,1.77,,1000,Apr-20
Rezone,A170 Point Black,,411,252,220,333,1.77,,600,Apr-19
Rezone,A170 Point Black,,401,252,220,333,1.77,,600,Apr-19
Rezone,A170 Point Dark Blue,,106,252,220,333,1.77,,600,Apr-19
Rezone,A170 Point Dark Blue,,131,252,220,333,1.77,,600,Apr-19
Rezone,A170 Point Dark Blue,,156,252,220,333,1.77,,600,Apr-19
Astro,A173 Black/Orange,,204,279,,,1.77,0.032,800,Jun-18
Astro,A225 Black,,295,359,,,2.4,0.032,1000,Jun-18
Astro,A225 Black,,334,359,,,2.4,0.032,1000,Jun-18
Rezone,A240 Experience Red,,63,308,289,364,2.4,,800,Apr-19
Rezone,A281 Force Black,,947,632,532,1143,2.8,,6000,Apr-19
Blackview,A30 2/16GB Black,Android,240,1852,1795,1910,5.5,16,2500,Sep-18
Blackview,A30 2/16GB Black,Android,243,1852,1795,1910,5.5,16,2500,Sep-18
OPPO,A31 4/64GB Mystery Black,Android,897,4471,3999,4499,6.5,64,4230,Mar-20
OPPO,A5 2020 3/64GB Black,Android,833,4773,4499,4999,6.5,64,5000,Nov-19
Archos,A50 GRANITE 2/16GB Black,Android,617,1599,,,5,16,2700,Nov-18
Bravis,A512 Harmony Pro DS Black,Android,302,2199,,,5,16,3200,Jan-19
OPPO,A52 4/64GB Twilight Black,Android,1094,5448,4857,6031,6.5,64,5000,May-20
OPPO,A53 4/128GB Electric Black,Android,985,5683,4998,5999,6.5,128,5000,Nov-20
OPPO,A53 4/64GB Black,Android,1145,5257,4407,6658,6.5,64,5000,Oct-20
NUU,A5L+ 2/16GB Grey,Android,650,1599,,,5.5,16,2650,Jan-20
OPPO,A5s 3/32Gb Blue,Android,478,3266,3199,3333,6.2,32,4230,Aug-19
Blackview,A60 1/16GB Black,Android,857,1910,1735,2052,6.1,16,4080,May-19
Blackview,A60 Plus 4/64GB Black,Android,1027,2831,2695,3189,6.08,64,4080,Dec-20
Blackview,A60 Pro 3/16GB Black,Android,904,2465,2299,2599,6.08,16,4080,Jul-19
Lenovo,A7 2/32GB L19111 Blue,Android,82,3391,3119,3746,6.09,32,4000,Jul-20
UMIDIGI,A7 Pro 4/128GB Black,Android,29,3868,3499,4104,6.3,128,4150,Aug-20
UMIDIGI,A7 Pro 4/128GB Black,Android,23,3868,3499,4104,6.3,128,4150,Aug-20
UMIDIGI,A7 Pro 4/64GB Black,Android,419,3327,3149,3506,6.3,64,4150,Jun-20
OPPO,A72 4/128GB Aurora Purple,Android,948,6867,6000,6999,6.5,128,5000,May-20
OPPO,A73 4/128GB Navy Blue,Android,1097,6615,5949,6999,6.44,128,4015,Dec-20
UMIDIGI,A7S 2/32GB Black,Android,622,2479,,,6.53,32,4150,Nov-20
AGM,A8 3/32GB Black,Android,74,4463,4299,4617,5,32,,Oct-17
Blackview,A80 2/16GB Red,Android,578,2232,2090,2471,6.21,16,4200,Jun-20
Blackview,A80 Pro 4/64GB Black,Android,1018,3250,3134,3692,6.49,64,4680,Jan-20
OPPO,A9 2020 4/128GB Marine Green,Android,73,6039,,,6.5,128,5000,Nov-19
OPPO,A9 2020 4/128GB Space Purple,Android,814,5699,,,6.5,128,5000,Nov-19
AGM,A9 4/32GB Black,Android,797,5851,5699,6184,5.99,32,5400,May-19
AGM,A9 4/64GB Black,Android,704,6900,6628,7299,5.99,64,5400,Feb-19
OPPO,A91 8/128GB Black,Android,1124,8141,7298,8499,6.4,128,4025,Apr-20
Assistant,AS-201 Dual Sim Blue,,316,294,263,330,2.4,0.064,1500,Dec-18
Assistant,AS-203 Dual Sim Black,,377,398,345,659,2.2,0.032,1000,Oct-19
Crosscall,Action-X3 3/32GB Black,Android,155,3460,,,5,32,3500,Aug-20
Sharp,Aquos D10 4/64GB Black,Android,632,7827,6199,9999,5.99,64,2900,Jun-19
Ulefone,Armor 10 5G 8/128GB Black,Android,146,12913,12072,13499,6.67,128,5800,Jan-21
Ulefone,Armor 3W 6/64GB Black,Android,314,6692,6486,6964,5.7,64,,Jun-20
Ulefone,Armor 3WT 6/64GB Black,Android,148,7498,7349,7699,5.7,64,10300,Nov-19
Ulefone,Armor 7E 4/128GB Black,Android,671,7958,6787,8999,6.3,128,5500,Jul-20
Ulefone,Armor 7E 4/128GB Black,Android,673,7958,6787,8999,6.3,128,5500,Jul-20
Ulefone,Armor 8 4/64GB Black (6937748733744),Android,865,5943,4398,6799,6.1,64,5500,Oct-20
Ulefone,Armor 9 8/128GB Black (6937748733515),Android,1009,15611,13799,16120,6.3,128,6600,Aug-20
Ulefone,Armor 9E 8/128GB Black (6937748733805),Android,816,11062,9610,13092,6.3,128,6600,Sep-20
Ulefone,Armor 9E 8/128GB Black (6937748733805),Android,818,11062,9610,13092,6.3,128,6600,Sep-20
Ulefone,Armor Mini Black,,318,1274,1149,1511,2.4,0.032,2500,Jun-18
Ulefone,Armor Mini Red,,52,1299,1199,1479,2.4,0.032,2500,Jun-18
Ulefone,Armor X3 2/32GB Black,Android,395,3155,2493,3699,5.5,32,5000,Sep-20
Ulefone,Armor X5 3/32GB Red (6937748733256),Android,788,3768,2909,4399,5.5,32,5000,May-20
Ulefone,Armor X5 Pro 4/64GB Black (6937748733829),Android,1010,4251,3395,5200,5.5,64,5000,Sep-20
Ulefone,Armor X6 2/16GB Orange,Android,662,2786,2175,3199,5,16,4000,Apr-20
Ulefone,Armor X7 2/16GB Orange,Android,546,3072,2484,3499,5,16,,Jun-20
Ulefone,Armor X7 Pro 4/32GB Black,Android,998,3550,2770,3999,5,32,4000,Sep-20
Ulefone,Armor X8 4/64GB Black,Android,1035,4424,3470,5322,5.7,64,5080,Dec-20
ERGO,B181 DUAL SIM BLACK,,621,275,265,299,1.8,0.032,800,Dec-20
Tecno,B1P DS Champagne Gold,Android,110,1699,,,5.45,8,4000,Jan-19
Tecno,B1P DS Champagne Gold,Android,160,1699,,,5.45,8,4000,Jan-19
